game_id,Season,result,starplayer_difference,rpi_rating_difference,Log5,adjoe_difference,adjde_difference,EFG-OEEG,TPP-DTPP_difference,SRS_difference,SOS_difference,adjwin_difference,Hostwin_difference,coach_influence_difference,previous_performance_dif
2002-1400-1130,2002,1,0,-0.016,0.642423506,6.6073,-1.7506,0.350921264,-0.0133,5.36,4.07,0.041911765,-0.015873015,40.64657815,2
2002-1403-1356,2002,0,-1,-0.017,0.634602025,6.9494,-2.3095,-2.817555185,0.0121,4.93,5.55,-0.093055556,-0.166666667,175.2677322,0
2002-1409-1246,2002,0,0,-0.021,0.312182499,1.8544,-6.9564,3.192544153,0.0081,-6.49,-9.69,0.132720588,0.041666667,-47.17782852,-32
2002-1409-1266,2002,1,-1,-0.007,0.274537749,1.1287,-7.546,-0.131687799,-0.0185,-4.5,-2.47,0.055258467,-0.166666666,6.092694444,0
2002-1417-1279,2002,1,0,0.016,0.382649468,-1.6401,-1.8874,-1.591625343,-0.0011,-0.47,3.92,0.012903226,0.214285714,17.70321919,15
2002-1423-1231,2002,0,0,-0.037,0.221814871,-5.1131,-3.9066,-3.130846606,0.0379,-13.04,-12.17,0.030794431,0.15,1.782654898,0
2002-1425-1423,2002,0,0,0.035,0.769248205,6.1456,2.7256,-2.865727455,0.0193,10.34,8.4,-0.022348485,-0.75,5.500230393,5
2002-1443-1390,2002,0,0,-0.086,0.370926782,-6.5017,1.9772,2.929085245,0.037,-6.57,-9.31,0.203333333,0.2,-43.83477307,-36
2002-1448-1337,2002,1,0,-0.002,0.595717195,7.1727,-3.5559,-0.295585604,-0.0341,6.66,6.92,-0.113282733,-0.166666667,30.90704315,0
2002-1457-1181,2002,0,-1,-0.186,0.007813798,-23.2367,-12.225,-8.889373978,-0.0257,-35.45,-17.37,-0.251428571,-0.416666667,-140.6963688,-206
2002-1458-1268,2002,0,-1,-0.09,0.158545848,-8.7616,-3.9001,-9.850899118,-0.0267,-13.41,-0.16,-0.288194444,-0.633333333,-85.65617476,-44
2002-1458-1385,2002,1,0,-0.006,0.63224602,8.1417,-3.7222,1.79011472,-0.0491,2.29,2.92,0,-0.3,-54.38751689,-6
2002-1461-1112,2002,0,0,-0.068,0.201759455,-11.3507,0.2661,0.200590838,-0.0104,-8.31,-9.77,-0.006641366,-0.333333333,-158.2922168,-113
2002-1461-1211,2002,1,-1,-0.012,0.232320339,-9.1407,-0.3186,-5.07848489,-0.0099,-5.28,1.98,-0.208602151,-0.214285714,-27.56929505,-10
2003-1112-1242,2003,0,0,0.009,0.507290654,2.7216,-1.9599,-0.936750315,-0.0092,-1.58,-1.58,0.108881579,-0.015384615,75.96997793,25
2003-1112-1436,2003,1,0,0.172,0.954589583,14.377,7.9898,4.903191064,0.0331,24.74,13.8,0.244128788,0.1,184.0630805,118
2003-1113-1272,2003,1,0,0.064,0.409504922,0.8672,-3.2355,-2.214437955,-0.0069,1.78,4,-0.145,-0.095238096,-37.86925992,0
2003-1120-1448,2003,1,0,-0.052,0.263632019,-10.0306,1.6841,-0.832136244,0.0151,-4.28,1.38,-0.147817837,0.291666667,-7.519895577,5
2003-1122-1257,2003,0,0,-0.118,0.095010266,-13.6419,-3.3158,-5.605379487,-0.0228,-20.65,-8.82,-0.040927419,0.416666667,-74.07076881,1
2003-1139-1280,2003,1,0,-0.006,0.249002504,6.2964,-12.7687,-0.215199598,0.0064,-8.54,-5.77,0.180645161,0.133333333,7.811334145,-1
2003-1140-1163,2003,0,0,-0.024,0.451452083,-1.8974,0.3079,-1.954005962,0.0468,-2.21,-2.34,0.032575758,-0.095238096,-94.13922339,-57
2003-1141-1181,2003,0,0,-0.041,0.194759045,-6.3346,-4.4033,2.283816993,-0.0518,-13.01,-6.59,0.047348485,-0.088888889,-156.2390659,-214
2003-1143-1328,2003,0,0,-0.055,0.241559735,-1.7682,-6.1153,-3.295296891,-0.0111,-7.09,-0.95,-0.064326376,-0.366666667,-26.36528909,-25
2003-1153-1211,2003,0,0,-0.034,0.500521494,-6.7924,5.9861,-7.032549647,0.0198,0.64,3.65,-0.197910136,-0.166666667,51.49835279,32
2003-1160-1277,2003,0,0,-0.004,0.430162819,1.634,-3.2787,-1.5565565,0.0044,-3.3,-1.71,-0.009464286,0.1,-39.26284202,-68
2003-1161-1181,2003,0,0,-0.015,0.115456645,-5.1831,-9.9714,0.692434085,-0.0866,-14.48,-3.97,-0.206060606,-0.222222222,-166.0201661,-214
2003-1163-1400,2003,0,0,-0.053,0.357076522,-8.1679,2.7523,6.17986574,-0.0146,-3.07,-1.64,-0.090909091,-0.033333333,27.51594417,50
2003-1166-1141,2003,0,0,0.009,0.657935581,1.1377,3.5545,2.673787767,0.0446,8.48,-0.76,0.031617647,0.033333333,44.12012242,4
2003-1181-1242,2003,0,0,-0.002,0.382611065,3.6292,-6.0569,-2.768717396,-0.0062,-5.14,-2.15,-0.032216906,0.273504274,54.53640926,121
2003-1190-1448,2003,0,0,-0.059,0.080198768,-14.2527,-4.1503,-4.729340026,0.0467,-17.86,-9.9,-0.135483871,0.466666667,-58.47572274,-1
2003-1196-1277,2003,0,0,0.031,0.667452574,9.403,-3.1914,3.482930459,0.0219,2.42,-1.96,0.149437229,-0.166666667,-4.194651467,-41
2003-1196-1358,2003,1,0,0.01,0.931074635,14.7922,4.8864,0.980470724,0.0106,20.19,14.63,0.008484848,0.333333333,30.93982595,28
2003-1211-1112,2003,0,0,-0.054,0.179156022,-4.1634,-6.7774,-0.724035513,-0.0335,-11.16,-5.15,-0.141098485,-0.1,-151.6398394,-107
2003-1221-1266,2003,0,-1,-0.072,0.246614274,-12.1014,2.7992,-1.425832124,0.0276,-11.02,-12.66,0.069012707,-0.214285714,26.30857148,1
2003-1228-1443,2003,1,0,0.033,0.822799668,6.0474,5.1379,5.987200396,0.0077,12.11,5.36,0.051893939,0.257142857,23.01491289,8
2003-1231-1104,2003,1,0,0.034,0.471406473,2.7099,-3.195,3.809158439,-0.0476,-0.73,0.41,0.061257606,0.127272727,-4.140218568,21
2003-1242-1113,2003,1,0,0.046,0.78546438,0.6428,8.0783,5.282739871,0.0466,9.99,1.26,0.172368421,0.043956044,90.92762853,93
2003-1242-1393,2003,0,0,0.004,0.699971968,-0.5527,6.0092,-0.925846591,0.0179,5.98,1.51,-0.046917293,-0.162393163,-45.71903323,-4
2003-1246-1237,2003,1,0,0.073,0.974733031,12.8135,13.4352,10.42045423,0.0024,24.9,11.13,0.295751634,0.274725275,89.99439142,37
2003-1246-1458,2003,1,0,0.047,0.76830625,2.9599,5.369,2.702792372,-0.0126,4.99,2.82,0.184722222,0.346153846,63.98700069,36
2003-1257-1139,2003,0,0,0.023,0.728528624,0.8928,6.1173,1.847160954,0,10.7,4.61,-0.06875,-0.466666667,66.75878417,0
2003-1261-1345,2003,0,0,-0.036,0.670352193,6.4598,-0.8665,5.033785826,-0.0174,0.13,-2.59,0.00875,0.166666667,-95.49670282,-31
2003-1264-1393,2003,0,1,-0.047,0.266265223,-7.9739,0.0694,-4.103913411,0.0097,-13.24,-11.01,0.005714286,-0.111111111,-142.6295286,-97
2003-1266-1242,2003,0,1,-0.005,0.323348985,4.845,-8.8495,-0.378567143,-0.0455,-8.72,-3.25,0.022328549,0.098901099,-87.27175624,-92
2003-1266-1246,2003,1,1,-0.019,0.217280692,2.2703,-10.2757,-0.684367065,-0.0292,-6.19,-2.05,-0.102525252,-0.131868132,-64.07106227,-36
2003-1266-1281,2003,1,1,0.005,0.595252246,6.5734,-2.8966,1.259515892,0.0114,1.41,-2.87,0.16969697,0.089285714,-2.920851748,-6
2003-1266-1338,2003,1,1,-0.007,0.276500602,4.6043,-10.0697,-6.170010388,-0.0383,-5.21,1.49,-0.024242424,-0.119047619,-13.35430436,-4
2003-1268-1277,2003,0,0,-0.006,0.564501478,2.0931,-0.0735,3.973305145,0.049,4.44,-2.16,0.04718894,0,44.67733393,-4
2003-1268-1462,2003,1,-1,-0.027,0.484086325,-4.1773,3.0671,4.236858572,0.0611,4.48,2.95,-0.174596774,0.1,56.61770088,64
2003-1301-1143,2003,0,0,0.029,0.46080062,1.7489,-2.6458,1.175995672,-0.0082,-0.01,-0.01,-0.161290323,-0.083333333,-36.27127866,-6
2003-1323-1112,2003,0,0,-0.031,0.25010027,1.9596,-9.086,-0.196836138,-0.0231,-6.1,0.48,-0.209191176,0.066666667,-145.5752428,-116
2003-1323-1228,2003,1,0,-0.01,0.295816268,3.6888,-8.9615,-5.624722578,-0.0143,-2.5,2.67,-0.065441176,-0.19047619,-6.998122766,-8
2003-1323-1454,2003,1,-1,0.016,0.645872165,9.095,-3.7129,1.224167622,-0.0097,9.61,8.62,-0.084191176,0.066666667,26.4354861,2
2003-1328-1139,2003,1,0,0.036,0.763609009,-2.9719,10.4986,-0.149369737,0.0003,9.75,6.3,-0.064705882,-0.1,56.20677823,32
2003-1329-1393,2003,0,0,-0.02,0.413595621,-8.8711,5.2383,-2.899141767,0.0074,-4.4,-0.56,-0.150535714,-0.277777778,8.487396788,-55
2003-1335-1329,2003,0,0,-0.019,0.440890945,6.6467,-7.3538,3.846513575,-0.0244,-6.18,-9.91,0.134821429,0,-111.5856551,-36
2003-1338-1231,2003,1,0,0.046,0.862210776,0.3868,11.929,8.633012519,0.062,8.86,-4.02,0.229233512,0.106060606,15.48253781,-17
2003-1345-1400,2003,0,0,-0.054,0.241885209,-15.1929,5.1346,-0.283430612,0.0342,-2.96,0.15,-0.173333333,-0.366666667,29.00762315,28
2003-1354-1328,2003,0,0,-0.044,0.018748837,-13.871,-14.4909,-3.413340962,-0.0466,-28.06,-18.67,-0.083681215,-0.1,-49.12383856,-28
2003-1356-1281,2003,0,0,-0.042,0.325970542,-0.5631,-4.5458,-3.144501576,0.0585,-6.3,-7.78,0.135483871,-0.125,-4.278844853,-2
2003-1386-1120,2003,0,0,0.016,0.772737942,3.0514,5.3951,5.361336751,0.0171,1.93,-4.63,0.159215686,0.125,-28.97813228,0
2003-1390-1163,2003,0,0,0.009,0.394450786,-2.0799,-1.117,-4.280361987,0.0068,-2.59,0.74,0.042424243,-0.166666667,-29.62153897,-20
2003-1390-1360,2003,1,0,0.092,0.676048519,4.5228,0.9865,0.717052953,0.0173,7.79,5.63,0.084848485,0.5,77.05579779,38
2003-1393-1120,2003,1,0,0.049,0.718290885,7.8358,-0.4701,3.58358765,0.0214,6.34,0.68,0.200168067,0.152777778,101.3185349,91
2003-1393-1328,2003,1,0,-0.008,0.386769266,2.1276,-4.8016,1.817639305,-0.0017,0.16,0.49,0.058991596,0.077777778,77.13171568,65
2003-1400-1277,2003,1,0,0.057,0.665167245,12.3203,-5.6303,-1.649331663,-0.0059,2.79,-0.45,0.167619047,0.2,34.03200311,-61
2003-1400-1393,2003,0,0,0.016,0.612492755,6.4693,-2.2006,-4.858905602,-0.0299,-0.11,0.25,-0.060952381,-0.077777778,-73.5407375,-89
2003-1407-1462,2003,0,-1,-0.073,0.163627354,-6.2798,-5.8144,-2.02847112,0.0586,-13.22,-9.41,0.0375,0.266666667,-23.04219817,-1
2003-1409-1173,2003,1,0,0.006,0.351105179,-11.2902,5.6704,3.795737686,0.0161,-0.59,-2.88,-0.084848485,0.75,-10.91286073,0
2003-1409-1458,2003,0,0,-0.043,0.22096433,-6.1643,-3.1595,3.456525607,-0.0272,-7.07,-4.22,-0.039015152,0.25,-3.682214328,0
2003-1411-1421,2003,0,0,0.122,0.568465319,-3.8238,6.4529,4.553614895,0.0019,3.62,-5.6,0.116733871,-0.15,5.642405797,0
2003-1421-1400,2003,0,0,-0.148,0.010801494,-17.2854,-17.6075,-6.087265327,-0.0132,-32.1,-14.88,-0.314583333,0.05,-89.29786113,-8
2003-1423-1268,2003,0,0,-0.016,0.375941955,-0.6687,-2.7944,-2.280603342,0.0089,-12.04,-10.36,0.154838709,0.25,-73.09878615,-65
2003-1428-1246,2003,0,0,-0.035,0.111916533,-8.0383,-6.8644,-1.062698211,-0.0395,-11.47,-4.08,-0.163131313,-0.346153846,-2.843855012,4
2003-1428-1332,2003,1,0,0.115,0.512982192,-4.1942,4.0618,-0.054677999,-0.038,-3.05,-0.86,0.066666667,-0.166666667,52.00719365,35
2003-1429-1242,2003,0,0,-0.055,0.070977532,-6.7033,-11.5644,-6.397487051,-0.0388,-20.84,-11.96,-0.050398724,0.217948718,-71.89244077,-91
2003-1447-1338,2003,0,0,-0.065,0.025275656,-8.0968,-17.9672,-11.15623174,-0.0348,-24.82,-12.27,-0.181439394,-0.833333333,-30.58662318,-5
2003-1451-1458,2003,0,0,0.025,0.17922632,-2.0114,-8.8063,-3.841189588,-0.0148,-12.92,-8.52,0.1,0.166666667,-1.929136332,-1
2004-1104-1390,2004,1,0,-0.032,0.317600879,1.8847,-6.7031,-5.565595813,0.0182,-3.17,5.86,-0.348863636,-0.232142857,-70.45277949,-37
2004-1104-1393,2004,1,0,-0.014,0.484110507,2.0052,-2.1652,-2.132492811,0.0057,1.23,2.59,-0.126686217,0.025,-132.2551102,-116
2004-1106-1181,2004,0,0,-0.062,0.005888875,-25.0743,-12.3716,-7.400921677,-0.0543,-36.77,-21.64,-0.302179599,-0.083333333,-172.8736436,-218
2004-1112-1371,2004,0,0,-0.028,0.3905836,6.7482,-8.9819,-2.123621018,-0.0122,1.02,-1.15,-0.018924732,0,172.1749495,123
2004-1130-1210,2004,0,1,-0.013,0.259017511,-4.0373,-3.6052,-5.301311691,-0.0271,-8.67,-4.04,-0.051702787,-0.027777778,12.6453225,1
2004-1130-1428,2004,1,1,0.027,0.549884764,-0.0947,1.4497,-3.805380612,0.0424,0.62,2.64,-0.013903744,0.25,22.14655276,2
2004-1140-1393,2004,0,0,-0.135,0.460551562,-0.3707,-0.7556,-2.428282413,-0.0102,-0.36,-1.3,-0.043655914,0,-140.1218378,-116
2004-1150-1403,2004,0,-1,-0.072,0.489065285,3.722,-3.5556,3.1230236,0.002,-2.47,-3.51,0.088235294,-0.238095238,-163.3279079,2
2004-1163-1104,2004,1,0,-0.015943907,0.766198151,2.0951,6.2282,8.546965678,-0.0352,8.35,-2.43,0.226107226,0.284090909,93.64120537,61
2004-1163-1436,2004,1,0,-0.022943907,0.964180001,14.2182,9.8057,12.28402814,-0.0271,25.39,14.13,0.080066171,0.409090909,109.8046136,62
2004-1173-1177,2004,0,0,-0.000943907,0.448907119,-6.7755,4.6469,0.808493688,-0.0215,-1.95,-2.81,0.010227273,-0.2,3.590790123,0
2004-1177-1163,2004,0,0,0.005385584,0.156711444,-0.0506,-11.5613,-8.860286739,0.0023,-13.58,-1.39,-0.12724359,-0.109090909,-111.0362404,-63
2004-1181-1163,2004,0,0,0.005385584,0.637525014,4.0095,0.5346,-3.253116902,0.0493,3.03,3.09,0.015661815,-0.159090909,50.57034719,156
2004-1181-1371,2004,1,0,-0.019943907,0.831956106,8.8434,3.3725,2.409863931,0.0287,11.39,3.08,0.17314734,0.35,165.2600492,219
2004-1186-1329,2004,0,0,-0.048943907,0.06552696,-12.2731,-7.6646,-8.401187969,-0.0342,-20.02,-7.57,-0.306666667,-0.818181818,-181.5090966,-43
2004-1190-1153,2004,0,0,-0.039943907,0.164311813,-11.2532,-1.2374,-3.537231579,0.0221,-14.56,-9.43,0.105871212,0.071428571,-69.48906283,-44
2004-1197-1246,2004,0,0,-0.059943907,0.010305226,-14.8869,-17.9931,-9.029503853,0.0017,-28.68,-16.49,-0.38125,-0.1,-101.0961335,-42
2004-1197-1250,2004,1,0,-0.050943907,0.32563621,-0.4578,-4.9568,-3.302569137,0.0207,-2.55,0.94,-0.156048387,0.133333333,-16.74864368,0
2004-1210-1163,2004,0,0,0.005385584,0.447071539,-1.2426,-0.388,-2.923404723,0.0386,-1.98,3.44,-0.079217274,-0.131313131,-97.94421996,-62
2004-1210-1242,2004,1,0,0.005385584,0.689511436,2.9185,2.8598,1.563331926,0.0218,3.56,1.77,0.031738437,0.111111111,-26.51886325,1
2004-1211-1434,2004,1,0,0.075056093,0.957697691,18.9719,4.8477,10.26613241,0.021,19.03,3.31,0.341935484,-0.166666667,14.8813305,2
2004-1227-1242,2004,0,0,0.005385584,0.314276467,-4.3119,-1.5017,-7.29785693,0.0145,-11.1,-9.91,0.058712121,-0.166666667,-28.84164028,2
2004-1228-1153,2004,1,0,-0.039943907,0.367366116,0.8503,-4.4198,-1.501888488,-0.017,-1.82,0.8,0.051325758,0.136363636,-66.16427318,-44
2004-1228-1181,2004,0,0,-0.060943907,0.191121874,-2.6263,-7.5845,-2.807740302,-0.0225,-8.74,-3.78,-0.047829647,-0.113636364,-136.3163087,-219
2004-1228-1293,2004,1,0,0.014056093,0.729463245,6.5899,1.2091,-0.909722352,0.004,9.71,10.28,-0.036541889,-0.113636364,12.83585236,0
2004-1264-1196,2004,1,0,0.081056093,0.284371232,-10.979,3.1274,-4.757666531,0.0599,-7,-10.45,0.174193548,0.085714286,-21.11016235,-28
2004-1264-1448,2004,0,0,-0.028943907,0.233717053,-14.2464,3.9725,0.689635003,0.0321,-9.16,-12.29,0.141935483,0,-35.94550106,-1
2004-1272-1329,2004,0,0,-0.048943907,0.275375818,-5.1977,-2.229,-6.576882132,-0.0073,-7.79,-1.27,-0.166666667,-0.568181818,-121.8829906,-42
2004-1272-1376,2004,1,0,0.140056093,0.501034352,0.3188,-0.2469,-1.745741882,-0.0167,0.29,0.63,0.049803921,-0.416666667,-5.55150852,1
2004-1277-1305,2004,0,0,0.005385584,0.401207703,6.6426,-8.4789,0.304454344,-0.0024,-2.76,2.56,-0.123137255,-0.633333333,47.28559838,74
2004-1280-1462,2004,0,0,-0.008943907,0.625171907,3.1725,0.7672,0.4580095,0.0172,2.94,0.24,0.201801802,-0.277777778,0.329265911,0
2004-1284-1280,2004,0,0,-0.045943907,0.035398113,-16.4189,-7.7114,-5.653784691,-0.0208,-21.62,-11.74,-0.278787879,0.1,-24.94805661,-1
2004-1301-1418,2004,1,0,0.047056093,0.844501296,10.2988,2.9172,1.942582679,-0.0504,12.21,10.19,-0.04916574,-0.3,12.08692743,1
2004-1301-1435,2004,0,0,-0.021943907,0.68238278,7.5769,-1.0726,1.086600937,-0.0231,2.75,3.03,-0.017399804,-0.166666667,2.658763621,2
2004-1305-1210,2004,0,0,-0.034943907,0.340286565,-3.0395,-1.8491,-5.212044049,-0.0219,-5.75,-5.39,-0.034055728,0.055555555,-17.54687757,-1
2004-1305-1211,2004,1,0,-0.037943907,0.27886318,-9.4272,1.3348,-8.444359892,0.002,-4.03,2.5,-0.20740038,0.333333333,-44.93733337,-12
2004-1314-1102,2004,1,0,0.002056093,0.72343617,5.7384,1.7052,-9.371695659,-0.0402,10.28,11.96,-0.144137931,0.416666667,109.7677012,0
2004-1314-1400,2004,0,0,-0.041943907,0.611533466,4.57,-0.7393,-4.757271071,0.0057,0.88,3.64,-0.123030303,0.25,26.68936548,-29
2004-1320-1210,2004,0,0,-0.034943907,0.122769069,-7.3651,-6.9266,-4.795834454,-0.0449,-13.79,-8.01,-0.084719864,-0.027777778,-19.48511532,-1
2004-1329-1210,2004,0,0,-0.034943907,0.502410031,3.3099,-2.6025,0.543239977,-0.0034,0.19,-3.98,0.129473684,0.04040404,157.2197016,42
2004-1329-1338,2004,1,0,-0.039943907,0.365678349,1.761,-4.9827,1.071414501,0.008,2.65,0.74,0.045555556,0.103896104,155.1300227,43
2004-1334-1242,2004,0,0,0.005385584,0.246489612,-3.1744,-4.8849,-0.307374773,-0.0194,-11.34,-8.49,0.06060606,-0.095238096,-34.78454042,1
2004-1334-1344,2004,1,0,0.055056093,0.224834743,-3.4907,-5.4223,2.229620875,-0.0273,-9.11,-7.26,0.070428422,0.238095238,-6.646589763,0
